epoch,lr,train_loss,val_loss,train_loss_y,train_loss_neg_dy,val_loss_y,val_loss_neg_dy,step,test_loss,test_loss_y,test_loss_neg_dy
0.0,0.00011300000187475234,503775968.0,2228393216.0,1007423872.0,127993.765625,4456695296.0,91034.7734375,112,,,
1.0,0.00022600000374950469,10091554.0,1147643776.0,20110326.0,72779.6015625,2295230208.0,57324.65625,225,,,
2.0,0.0003389999910723418,6463527.0,591767168.0,12865095.0,61958.640625,1183476480.0,57957.42578125,338,,,
3.0,0.00045200000749900937,5969684.5,311678624.0,11881736.0,57633.53125,623297984.0,59317.46484375,451,,,
4.0,0.0005649999948218465,19292776.0,170945248.0,38541508.0,44047.22265625,341853344.0,37164.81640625,564,,,
5.0,0.0006779999821446836,12400660.0,101964184.0,24761350.0,39968.05859375,203895008.0,33352.59765625,677,,,
6.0,0.0007910000276751816,28573836.0,60372856.0,57119220.0,28456.8984375,120720448.0,25259.400390625,790,,,
7.0,0.0009040000149980187,7857374.0,32992268.0,15683754.0,30993.404296875,65960688.0,23851.0625,903,,,
8.0,0.0010000000474974513,16499642.0,18740394.0,32975560.0,23723.53515625,37464524.0,16261.2470703125,1016,,,
9.0,0.0010000000474974513,5557727.5,12308992.0,11093941.0,21514.689453125,24596018.0,21965.669921875,1129,,,
10.0,0.0010000000474974513,3582129.75,8812690.0,7140715.0,23544.12109375,17607202.0,18178.173828125,1242,5631.2412109375,11147.5986328125,114.88397216796875
11.0,0.0010000000474974513,8022990.0,6069094.0,16028202.0,17778.59765625,12122377.0,15810.4453125,1355,,,
12.0,0.0010000000474974513,2403335.25,3634853.0,4789511.0,17160.21484375,7255863.0,13843.24609375,1468,,,
13.0,0.0010000000474974513,1632983.875,2269850.0,3252114.75,13853.001953125,4526062.5,13637.4609375,1581,,,
14.0,0.0010000000474974513,2556602.25,1686503.0,5100473.0,12731.302734375,3361215.75,11790.166015625,1694,,,
15.0,0.0010000000474974513,1778573.0,1152851.75,3545807.25,11338.6103515625,2296786.5,8917.1845703125,1807,,,
16.0,0.0010000000474974513,1027584.125,1567341.25,2045636.75,9531.419921875,3123822.0,10860.6943359375,1920,,,
17.0,0.0010000000474974513,1474939.75,1411100.0,2941448.5,8431.0634765625,2814962.75,7236.951171875,2033,,,
18.0,0.0010000000474974513,675603.0,849048.3125,1343751.375,7454.5,1691942.25,6154.44970703125,2146,,,
19.0,0.0010000000474974513,1536860.625,568754.375,3066931.5,6789.57568359375,1130550.375,6958.52197265625,2259,,,
20.0,0.0010000000474974513,705752.5,454770.3125,1405040.375,6464.50927734375,903005.4375,6535.17578125,2372,4613.5556640625,9160.822265625,66.28829956054688
21.0,0.0010000000474974513,225512.0,1081647.625,445507.6875,5516.3017578125,2158194.75,5100.47607421875,2485,,,
22.0,0.0010000000474974513,497625.28125,3068732.0,989850.875,5399.59619140625,6131327.0,6137.47900390625,2598,,,
23.0,0.0010000000474974513,2416461.75,2869455.0,4826825.5,6098.4013671875,5733771.5,5138.7275390625,2711,,,
24.0,0.0010000000474974513,1142834.0,1572716.625,2280636.25,5031.91259765625,3140712.75,4720.68212890625,2824,,,
25.0,0.0010000000474974513,434715.125,1096835.5,864754.0625,4676.18896484375,2189120.5,4550.49560546875,2937,,,
26.0,0.0010000000474974513,1325161.375,1621926.5,2645823.5,4499.1875,3238358.25,5494.85302734375,3050,,,
27.0,0.0010000000474974513,1052308.0,1588668.0,2100087.5,4528.3046875,3173566.25,3770.259033203125,3163,,,
28.0,0.0010000000474974513,292849.75,967178.8125,581833.75,3865.67578125,1931155.125,3202.524658203125,3276,,,
29.0,0.0010000000474974513,165765.03125,588614.25,328065.96875,3464.039306640625,1173979.625,3248.86376953125,3389,,,
30.0,0.0010000000474974513,182073.71875,458128.09375,360951.21875,3196.18359375,912882.5625,3373.572265625,3502,4942.99609375,9834.44921875,51.54420471191406
